ID,Horizon,Clay,Sand,Silt
t2-p1-1,Ap,27.45333333,24.7,47.84666667
t2-p1-2,AB,30.28,24.75,44.97
t2-p1-3,2Cr,9.226666667,73.25,17.52333333
t2-p2-1,Ap,26.56,5.6,67.84
t2-p2-2,2Bt,36.37333333,2.9,60.72666667
t2-p2-3,2BC,22.52,61.3,16.18
t2-p2-4,2Cr,27.32,48.45,24.23
t2-p3-1,Ap,23.13333333,22.05,54.81666667
t2-p3-2,2Bt,30.61333333,12.3,57.08666667
t2-p3-3,2Cr,21.2,25.15,53.65
t2-p4-1,Ap,23.16,4.1,72.74
t2-p4-2,AB,26.04,7.5,66.46
t2-p4-3,Bt1,32.06666667,1.4,66.53333333
t2-p4-4,Bt2,26.61,2.15,71.24
t2-p5-1,Ap,25.81333333,4.8,69.38666667
t2-p5-2,2Bt,34.42666667,4.25,61.32333333
t2-p5-3,2Cr,28.36,31.2,40.44
t2-p6-1,Ap,28.96,4.3,66.74
t2-p6-2,2Bt1,42.2,3.35,54.45
t2-p6-3,2Bt2,44.81333333,11.25,43.93666667
t2-p6-4,2Cr,18.64,45.15,36.21
t2-p7-1,Ap,20.56,20.45,58.99
t2-p7-2,Bw,17.84,36.95,45.21
t2-p7-3,2Cr,17.48,44.7,37.82
t2-p8-1,Ap,28.72,5.5,65.78
t2-p8-2,2Bt,33.16,5.75,61.09
t2-p8-3,2R,28.96,31.2,39.84
t2-p9-1,Ap,23.92,2.15,73.93
t2-p9-2,Bt1,28.96,0.65,70.39
t2-p9-3,2Bt2,32.64,3.65,63.71
t2-p10-1,Ap,20.16,2,77.84
t2-p10-2,Bt1,22.8,1.3,75.9
t2-p10-3,Bt2,32.48,2.5,65.02
t2-p10-4,2Bt3,40.36,4.65,54.99
t2-p11-1,Ap,14.76,1.95,83.29
t2-p11-2,Bt1,20.44,4.55,75.01
t2-p11-3,Bt2,23.92,2.75,73.33
t2-p12-1,Ap,20.8,2.15,77.05
t2-p12-2,A,20.56,2.65,76.79
t2-p12-3,Ab,23.84,3.25,72.91
t2-p13-1,Ap,13.44,1.85,84.71
t2-p13-2,A1,16.32,7.15,76.53
t2-p13-3,A2,23.4,3.7,72.9
t2-p13-4,Bt,27.32,8.85,63.83
t3-p1-1,Ap,27.36,4.95,67.69
t3-p1-2,2Bt,45.36,2.7,51.94
t3-p1-3,2Cr,16.16,64.25,19.59
t3-p2-1,Ap,24.32,3.4,72.28
t3-p2-2,2Bt,38.08,2.25,59.67
t3-p3-1,Ap,26.68,17.15,56.17
